Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
People Say (feat. Redman),"Wu-Tang Clan, Redman",The Saga Continues,6gSKTBiTqCkloLbgXLdVFs,3ayt5T0vDvOZMwhpP1NtJj,43,2017-10-13,264392,True,https://open.spotify.com/track/3ayt5T0vDvOZMwhpP1NtJj,0.713,0.896,1,-3.064,1,0.337,0.0917,0.0,0.112,0.66,90.143
Family (Skit),Wu-Tang Clan,The Saga Continues,6gSKTBiTqCkloLbgXLdVFs,2eOYVCCgUbfkPdOnOKw6f7,23,2017-10-13,66938,True,https://open.spotify.com/track/2eOYVCCgUbfkPdOnOKw6f7,0.536,0.644,7,-6.674,1,0.25,0.16,0.0,0.325,0.496,89.756
Why Why Why (feat. RZA and Swnkah),"Wu-Tang Clan, Swnkah, RZA",The Saga Continues,6gSKTBiTqCkloLbgXLdVFs,3HSIPGS2Pk2vNiLYkqwdKn,26,2017-10-13,240000,True,https://open.spotify.com/track/3HSIPGS2Pk2vNiLYkqwdKn,0.776,0.819,4,-4.25,0,0.29,0.0122,0.0121,0.104,0.402,168.035
"G'd up (feat. Method Man, R-Mean and Mzee Jones)","Wu-Tang Clan, R-Mean, Mzee Jones, Method Man",The Saga Continues,6gSKTBiTqCkloLbgXLdVFs,1PYdpQMCEOcAi3qZd2JHBg,31,2017-10-13,264986,True,https://open.spotify.com/track/1PYdpQMCEOcAi3qZd2JHBg,0.645,0.773,1,-4.787,1,0.358,0.0609,0.0,0.121,0.666,165.993
If What You Say Is True (feat. Streetlife),"Wu-Tang Clan, Streetlife",The Saga Continues,6gSKTBiTqCkloLbgXLdVFs,5wwCSiHSYPFGnFMkjt7kbx,24,2017-10-13,235498,True,https://open.spotify.com/track/5wwCSiHSYPFGnFMkjt7kbx,0.556,0.895,9,-4.739,1,0.37,0.00114,0.000177,0.72,0.276,180.423
Saga (Skit) [feat. RZA,"Wu-Tang Clan, RZA",The Saga Continues,6gSKTBiTqCkloLbgXLdVFs,011gYvGxmhSvO1pNZjZCSV,22,2017-10-13,58041,True,https://open.spotify.com/track/011gYvGxmhSvO1pNZjZCSV,0.528,0.898,9,-4.417,1,0.342,0.0347,0.0,0.378,0.563,148.742
Hood Go Bang! (feat. Redman and Method Man),"Wu-Tang Clan, Redman, Method Man",The Saga Continues,6gSKTBiTqCkloLbgXLdVFs,68ehwLL3Z3497DeIT8jPGC,37,2017-10-13,92308,True,https://open.spotify.com/track/68ehwLL3Z3497DeIT8jPGC,0.626,0.83,11,-3.15,0,0.344,0.00524,2.9e-06,0.209,0.518,97.006
"My Only One (feat. Ghostface Killah, RZA, Cappadonna, and Steven Latorre)","Wu-Tang Clan, Cappadonna, Steven Latorre, Ghostface Killah, RZA",The Saga Continues,6gSKTBiTqCkloLbgXLdVFs,3SWeWMqoBa6nh8LVyHJUm7,29,2017-10-13,284000,True,https://open.spotify.com/track/3SWeWMqoBa6nh8LVyHJUm7,0.699,0.765,4,-5.664,0,0.249,0.000552,0.0319,0.122,0.233,191.928
Message,Wu-Tang Clan,The Saga Continues,6gSKTBiTqCkloLbgXLdVFs,6bxurOPmTTyCtGVRfm2n3m,22,2017-10-13,125191,True,https://open.spotify.com/track/6bxurOPmTTyCtGVRfm2n3m,0.72,0.799,1,-4.206,1,0.169,0.05,1e-06,0.492,0.646,157.314
The Saga Continues Outro (feat. RZA),"Wu-Tang Clan, RZA",The Saga Continues,6gSKTBiTqCkloLbgXLdVFs,4DsgR7la0Z1f2f8C72xGkW,21,2017-10-13,45352,True,https://open.spotify.com/track/4DsgR7la0Z1f2f8C72xGkW,0.701,0.862,4,-4.948,1,0.268,0.18,0.0,0.274,0.538,149.99
"In the Hood (feat. RZA, Masta Killa, Inspectah Deck & Streetlife)","Wu-Tang Clan, RZA, Masta Killa, Inspectah Deck, Streetlife",Iron Flag,3zrfdc7xK2ClSRasyBbunq,20aeT8pf2RU7MBXw0v05Xx,30,2001-12-18,250827,True,https://open.spotify.com/track/20aeT8pf2RU7MBXw0v05Xx,0.677,0.933,6,-3.617,0,0.36,0.216,0.0,0.696,0.528,107.585
"Rules (feat. RZA, Ghostface Killah, Inspectah Deck, Masta Killa, Streetlife, Raekwon & Method Man)","Wu-Tang Clan, RZA, Ghostface Killah, Inspectah Deck, Masta Killa, Streetlife, Raekwon, Method Man",Iron Flag,3zrfdc7xK2ClSRasyBbunq,6j4EmETK0TEuvt5kZDDs4V,39,2001-12-18,233640,True,https://open.spotify.com/track/6j4EmETK0TEuvt5kZDDs4V,0.803,0.868,6,-3.902,1,0.305,0.0185,0.0,0.0821,0.936,95.514
"Chrome Wheels (feat. RZA, Raekwon, Prodigal Sunn & Madame Dee)","Wu-Tang Clan, RZA, Raekwon, Prodigal Sunn, Madame Dee",Iron Flag,3zrfdc7xK2ClSRasyBbunq,6GK6QEB9b2x1H4suZKevlV,25,2001-12-18,254827,True,https://open.spotify.com/track/6GK6QEB9b2x1H4suZKevlV,0.799,0.782,11,-6.053,0,0.23,0.0213,0.0,0.0769,0.582,94.079
"Soul Power (Black Jungle) (feat. Flavor Flav, Raekwon, Masta Killa, Ghostface Killah, U-God & Method Man)","Wu-Tang Clan, Flavor Flav, Raekwon, Masta Killa, Ghostface Killah, U-God, Method Man",Iron Flag,3zrfdc7xK2ClSRasyBbunq,0IetmZxoYSH1gdMq3XN8Kt,21,2001-12-18,292600,True,https://open.spotify.com/track/0IetmZxoYSH1gdMq3XN8Kt,0.711,0.86,6,-4.851,0,0.299,0.0227,0.0,0.0519,0.424,99.508
"Uzi (Pinky Ring) (feat. U-God, Raekwon, Ghostface Killah, RZA, Method Man, Inspectah Deck, Masta Killa & GZA)","Wu-Tang Clan, U-God, Raekwon, Ghostface Killah, RZA, Method Man, Inspectah Deck, Masta Killa, GZA",Iron Flag,3zrfdc7xK2ClSRasyBbunq,01zyS2efsF6uEXQBMv1sEz,39,2001-12-18,320200,True,https://open.spotify.com/track/01zyS2efsF6uEXQBMv1sEz,0.787,0.882,6,-4.518,0,0.297,0.0337,0.0,0.0559,0.504,103.72
"One of These Days (feat. Inspectah Deck, Raekwon & U-God)","Wu-Tang Clan, Inspectah Deck, Raekwon, U-God",Iron Flag,3zrfdc7xK2ClSRasyBbunq,1Kv42z7o2WUgUYbvJNvt1q,35,2001-12-18,253573,True,https://open.spotify.com/track/1Kv42z7o2WUgUYbvJNvt1q,0.768,0.641,10,-4.812,0,0.355,0.00985,0.0,0.0703,0.733,180.292
